"dep","url","created","modified"
"CONAPRED","http://adela.datos.gob.mx/conapred/catalogo.json","2015-10-20 08:38:20 UTC","2015-10-26 21:07:50 UTC"
"FIRCO","http://adela.datos.gob.mx/firco/catalogo.json","2015-10-20 08:38:20 UTC","2015-11-03 15:56:59 UTC"
"CONALITEG","http://adela.datos.gob.mx/conaliteg/catalogo.json","2015-10-20 08:38:20 UTC","2015-10-28 01:54:58 UTC"
"API-PCH","http://adela.datos.gob.mx/api-pch/catalogo.json","2015-10-20 08:38:21 UTC","2015-11-05 17:37:28 UTC"
"API-MZT","http://adela.datos.gob.mx/api-mzt/catalogo.json","2015-10-20 08:38:22 UTC","2015-10-31 01:12:56 UTC"
"INAPAM","http://adela.datos.gob.mx/inapam/catalogo.json","2015-10-20 08:38:22 UTC","2015-11-05 17:33:19 UTC"
"SAGARPA","http://adela.datos.gob.mx/sagarpa/catalogo.json","2015-07-20 17:59:37 UTC","2015-11-05 23:34:24 UTC"
"FONACOT","http://adela.datos.gob.mx/fonacot/catalogo.json","2015-07-18 00:26:07 UTC","2015-11-05 01:33:59 UTC"
"SEGOB","http://adela.datos.gob.mx/segob/catalogo.json","2015-10-20 08:38:23 UTC","2015-10-28 14:14:05 UTC"
"SHF","http://adela.datos.gob.mx/shf/catalogo.json","2015-10-26 22:18:26 UTC","2015-10-27 19:40:41 UTC"
"SEDENA","http://adela.datos.gob.mx/sedena/catalogo.json","2015-10-20 08:38:23 UTC","2015-10-28 16:44:16 UTC"
"PRODECON","http://adela.datos.gob.mx/prodecon/catalogo.json","2015-10-20 08:38:23 UTC","2015-10-27 23:52:23 UTC"
"PROFEDET","http://adela.datos.gob.mx/profedet/catalogo.json","2015-10-20 08:38:23 UTC","2015-10-24 00:17:22 UTC"
"PROMÉXICO","http://adela.datos.gob.mx/promexico-b8a8dff1-2cfa-4e63-ba3b-37b68c648a49/catalogo.json","2015-10-20 08:38:23 UTC","2015-10-28 23:42:23 UTC"
"PRONABIVE","http://adela.datos.gob.mx/pronabive/catalogo.json","2015-10-20 08:38:24 UTC","2015-10-27 20:25:36 UTC"
"SAT","http://adela.datos.gob.mx/sat/catalogo.json","2015-10-20 08:38:24 UTC","2015-11-05 21:07:19 UTC"
"Seguro Popular","http://adela.datos.gob.mx/seguro-popular/catalogo.json","2015-10-20 08:38:24 UTC","2015-10-28 02:25:52 UTC"
"SENASICA","http://adela.datos.gob.mx/senasica/catalogo.json","2015-10-20 08:38:24 UTC","2015-10-31 05:22:53 UTC"
"SESNSP","http://adela.datos.gob.mx/sesnsp/catalogo.json","2015-10-20 08:38:24 UTC","2015-11-10 20:56:12 UTC"
"SNICS","http://adela.datos.gob.mx/snics/catalogo.json","2015-10-20 08:38:25 UTC","2015-10-26 16:51:07 UTC"
"Ayuntamiento de San Luis Potosí","http://adela.datos.gob.mx/ayuntamiento-de-san-luis-potosi/catalogo.json","2015-07-22 18:02:23 UTC","2015-07-22 18:02:52 UTC"
"SECTUR","http://adela.datos.gob.mx/sectur/catalogo.json","2015-07-29 22:48:25 UTC","2015-07-29 22:48:49 UTC"
"PROFEPA","http://adela.datos.gob.mx/profepa/catalogo.json","2015-10-20 08:38:25 UTC","2015-11-10 20:54:00 UTC"
"CDI","http://adela.datos.gob.mx/cdi/catalogo.json","2015-03-03 00:52:05 UTC","2015-11-05 22:36:49 UTC"
"CONUEE","http://adela.datos.gob.mx/conuee/catalogo.json","2015-10-20 08:38:25 UTC","2015-10-20 22:46:47 UTC"
"FONHAPO","http://adela.datos.gob.mx/fonhapo/catalogo.json","2015-10-30 01:38:14 UTC","2015-10-30 21:40:28 UTC"
"COLEF","http://adela.datos.gob.mx/colef/catalogo.json","2015-10-20 08:38:26 UTC","2015-10-26 23:34:45 UTC"
"Ayuntamiento de Minatitlán","http://adela.datos.gob.mx/ayuntamiento-de-minatitlan/catalogo.json","2015-10-29 21:53:44 UTC","2015-11-07 18:44:11 UTC"
"CONABIO","http://adela.datos.gob.mx/conabio/catalogo.json","2015-10-23 20:01:34 UTC","2015-10-27 23:56:22 UTC"
